"vsn_setup_date","qtyf20","qtyf200","qtyf1000"
"2023-10-23",0,24,47
"2023-10-24",0,24,44
"2023-10-25",52,23,0
"2023-10-26",52,27,0
"2023-10-27",51,27,0
"2023-10-30",54,23,0
"2023-10-31",12,27,37
"2023-11-01",28,26,46
"2023-11-02",25,27,45
"2023-11-03",28,15,45
"2023-11-06",28,27,49
"2023-11-07",27,27,48
"2023-11-08",28,24,47
"2023-11-09",14,27,47
"2023-11-10",26,27,46
"2023-11-13",28,27,48
"2023-11-14",31,28,48
"2023-11-15",30,33,29
"2023-11-16",60,27,0
"2023-11-17",30,28,24
"2023-11-20",30,0,43
"2023-11-21",55,28,23
"2023-11-22",28,24,0
